"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"24-Dec-2020","EQ","890.00","905.00","851.00","868.50","878.00","878.05","880.16","905.00","320.00",413940,"364,331,822.35",18365
"23-Dec-2020","EQ","775.00","880.00","773.65","769.45","874.35","868.50","844.98","880.00","320.00",817265,"690,570,417.85",30617
"22-Dec-2020","EQ","745.00","773.85","718.10","736.60","770.35","769.45","751.29","844.00","320.00",117005,"87,904,998.75",8972
"21-Dec-2020","EQ","792.05","800.00","725.00","798.40","729.85","736.60","764.56","844.00","320.00",112528,"86,033,892.85",8619
"18-Dec-2020","EQ","814.80","818.75","791.25","805.45","796.00","798.40","802.61","844.00","320.00",91880,"73,743,825.50",5197
"17-Dec-2020","EQ","818.80","822.00","795.55","815.70","801.75","805.45","812.73","844.00","320.00",51662,"41,987,140.90",2907
"16-Dec-2020","EQ","825.00","830.90","805.00","817.35","813.00","815.70","819.33","844.00","320.00",111056,"90,991,268.85",5122
"15-Dec-2020","EQ","818.90","826.45","805.10","814.50","821.00","817.35","817.39","844.00","320.00",98200,"80,267,483.40",3953
"14-Dec-2020","EQ","830.00","844.00","810.80","808.90","814.00","814.50","825.28","844.00","320.00",189609,"156,480,763.95",8002
"11-Dec-2020","EQ","799.05","834.00","799.00","802.15","807.00","808.90","818.51","834.00","320.00",241617,"197,766,334.45",10904
"10-Dec-2020","EQ","817.00","817.00","787.00","817.35","798.00","802.15","800.16","829.50","320.00",168056,"134,470,923.75",10215
"09-Dec-2020","EQ","781.00","822.05","781.00","774.50","817.00","817.35","810.06","829.50","320.00",329894,"267,232,877.70",14932
"08-Dec-2020","EQ","794.70","819.00","770.00","787.80","779.95","774.50","793.18","829.50","320.00",221375,"175,590,940.95",15086
"07-Dec-2020","EQ","785.00","804.00","785.00","785.00","787.10","787.80","794.75","829.50","320.00",88243,"70,131,120.10",6183
"04-Dec-2020","EQ","800.00","829.50","780.00","789.80","781.00","785.00","805.97","829.50","320.00",524013,"422,336,772.95",31519
"03-Dec-2020","EQ","725.00","799.20","717.05","720.05","790.00","789.80","767.17","812.00","320.00",699786,"536,857,798.85",34089
"02-Dec-2020","EQ","730.00","737.50","715.00","728.90","728.20","720.05","723.55","812.00","320.00",33755,"24,423,377.20",2477
"01-Dec-2020","EQ","725.10","734.80","722.00","724.65","730.00","728.90","730.52","812.00","320.00",54020,"39,462,821.80",4082
"27-Nov-2020","EQ","715.00","738.00","712.60","714.20","720.40","724.65","727.90","812.00","320.00",97648,"71,078,349.90",5674
"26-Nov-2020","EQ","717.10","717.70","710.55","715.70","714.25","714.20","713.92","812.00","320.00",17085,"12,197,405.85",1136
"25-Nov-2020","EQ","717.00","721.60","710.00","716.75","716.05","715.70","715.46","812.00","320.00",34531,"24,705,510.85",2164
"24-Nov-2020","EQ","719.80","723.00","709.00","716.50","715.00","716.75","714.85","812.00","320.00",74015,"52,909,807.60",1821
"23-Nov-2020","EQ","720.00","727.90","714.05","713.90","716.45","716.50","720.01","812.00","320.00",55220,"39,759,019.85",3744
"20-Nov-2020","EQ","711.00","723.15","708.00","710.70","712.00","713.90","714.77","812.00","320.00",40599,"29,018,987.75",2400
"19-Nov-2020","EQ","714.95","717.10","708.00","708.40","709.05","710.70","711.94","812.00","320.00",31952,"22,747,965.90",4167
"18-Nov-2020","EQ","719.90","719.90","707.00","716.40","709.40","708.40","711.17","812.00","320.00",33703,"23,968,396.70",3152
"17-Nov-2020","EQ","724.00","724.00","712.35","719.05","717.65","716.40","717.29","812.00","320.00",34038,"24,415,029.70",4163
"14-Nov-2020","EQ","716.00","722.95","714.55","714.50","718.00","719.05","719.42","812.00","320.00",13903,"10,002,092.75",790
"13-Nov-2020","EQ","708.65","719.00","698.00","708.65","715.25","714.50","713.08","812.00","320.00",221677,"158,073,409.45",4154
"12-Nov-2020","EQ","713.00","719.45","705.55","711.90","709.00","708.65","715.56","812.00","320.00",163248,"116,813,046.20",3493
"11-Nov-2020","EQ","710.10","718.55","706.20","711.60","713.00","711.90","711.73","812.00","320.00",39062,"27,801,454.05",2405
"10-Nov-2020","EQ","730.00","730.00","706.10","729.70","709.00","711.60","713.36","812.00","320.00",51286,"36,585,584.70",5002
"09-Nov-2020","EQ","720.00","736.00","712.80","712.25","732.90","729.70","726.89","812.00","320.00",103018,"74,882,423.65",9960
"06-Nov-2020","EQ","745.00","767.00","703.00","713.90","711.70","712.25","726.35","812.00","320.00",296117,"215,085,554.60",15574
"05-Nov-2020","EQ","680.00","722.00","680.00","675.40","721.05","713.90","703.18","812.00","320.00",83600,"58,786,060.45",5016
